source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,query_name
GO:BP,GO:0009605,response to external stimulus,4.6366485522358233e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2415,72,27,21026,0.375,0.011180124223602485,query_1,['GO:0050896'],"['OAS1', 'HNRNPUL1', 'ZC3HAV1', 'OAS3', 'OAS2', 'RNASE1', 'MBD2', 'OASL', 'PARP1', 'YTHDF1', 'RNASE7', 'MECP2', 'RNASE2', 'RNASE3', 'RNASE6', 'PARP14', 'RNASE8', 'RNASE11', 'RNASE10', 'YTHDF3', 'RNASE9', 'XRCC6', 'YTHDF2', 'RNASE13', 'ANG', 'RNASE12', 'RNASE4']","[['IDA', 'IMP', 'IEP', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['ISS'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IBA'], ['IBA'], ['ISS', 'IEA'], ['IBA'], ['IDA', 'IEA'], ['IMP', 'IEA'], ['IBA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:MF,GO:0140294,NAD DNA ADP-ribosyltransferase activity,5.375449544021871e-07,True,"""Catalysis of the transfer of the ADP-ribose group of NAD+ to a residue in double-stranded DNA."" [PMID:27471034, PMID:29361132, PMID:29520010]",3,73,3,20246,0.0410958904109589,1.0,query_1,['GO:0016763'],"['PARP3', 'PARP2', 'PARP1']","[['IDA'], ['IDA'], ['IDA']]",Fig3D_VertExpanded
GO:MF,GO:0001730,2'-5'-oligoadenylate synthetase activity,5.375449544021871e-07,True,"""Catalysis of the reaction: ATP = pppA(2'p5'A)n oligomers. This reaction requires the binding of double-stranded RNA."" [ISBN:0198506732]",3,73,3,20246,0.0410958904109589,1.0,query_1,['GO:0070566'],"['OAS1', 'OAS3', 'OAS2']","[['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0016070,RNA metabolic process,6.877352713666164e-07,True,"""The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]",6873,72,47,21026,0.6527777777777778,0.006838352975411029,query_1,['GO:0090304'],"['CCAR1', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'OAS1', 'ACIN1', 'ERI1', 'HNRNPUL1', 'ZC3HAV1', 'OAS3', 'OAS2', 'FASTKD2', 'BAZ2B', 'FASTKD3', 'DEK', 'SAFB2', 'MBD2', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'YTHDF1', 'HNRNPU', 'SAFB', 'FASTK', 'MECP2', 'RNASE2', 'RNASE3', 'RNASE6', 'PARP14', 'PARP15', 'TNKS', 'MAMSTR', 'PARP10', 'YTHDF3', 'MRTFB', 'XRCC6', 'MRTFA', 'YTHDF2', 'SARNP', 'ANG', 'FASTKD5']","[['IEA'], ['IBA', 'NAS'], ['ISO', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IC', 'IEA'], ['IDA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IBA'], ['IDA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS', 'NAS'], ['IBA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS'], ['IMP', 'IBA', 'IEA'], ['IBA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['TAS', 'NAS'], ['ISS'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IC', 'IEA'], ['IBA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS'], ['TAS'], ['TAS'], ['IEA'], ['IMP'], ['IDA'], ['IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IMP', 'TAS'], ['IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0019079,viral genome replication,7.252466318771259e-07,True,"""Any process involved directly in viral genome replication, including viral nucleotide metabolism."" [ISBN:0781702534]",131,72,8,21026,0.1111111111111111,0.061068702290076333,query_1,"['GO:0016032', 'GO:0019058']","['YTHDC2', 'OAS1', 'ZC3HAV1', 'OAS3', 'OAS2', 'DEK', 'OASL', 'SETDB1']","[['IMP'], ['IDA', 'IBA'], ['IDA'], ['IDA', 'IBA'], ['IBA'], ['TAS'], ['IDA', 'IBA'], ['ISS']]",Fig3D_VertExpanded
GO:BP,GO:0009617,response to bacterium,8.8761048330759e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]",728,72,15,21026,0.20833333333333334,0.020604395604395604,query_1,['GO:0051707'],"['OAS1', 'OAS3', 'OAS2', 'RNASE1', 'RNASE7', 'RNASE3', 'RNASE6', 'RNASE8', 'RNASE11', 'RNASE10', 'RNASE9', 'RNASE13', 'ANG', 'RNASE12', 'RNASE4']","[['IMP'], ['IMP'], ['IMP', 'IEA'], ['IBA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IBA'], ['IBA'], ['IBA'], ['IBA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0030592,DNA ADP-ribosylation,1.6921534827935262e-06,True,"""The covalent attachment of an ADP-ribosyl group to a residue in double-stranded DNA."" [PMID:11592983, PMID:27471034, PMID:29361132, PMID:29520010]",3,72,3,21026,0.041666666666666664,1.0,query_1,['GO:0006304'],"['PARP3', 'PARP2', 'PARP1']","[['IDA'], ['IDA'], ['IDA']]",Fig3D_VertExpanded
GO:BP,GO:0045071,negative regulation of viral genome replication,1.7669532539848187e-06,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of viral genome replication."" [GOC:go_curators]",57,72,6,21026,0.08333333333333333,0.10526315789473684,query_1,"['GO:0019079', 'GO:0045069', 'GO:0048525']","['OAS1', 'ZC3HAV1', 'OAS3', 'OAS2', 'OASL', 'SETDB1']","[['IDA', 'IBA'], ['IDA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA'], ['ISS']]",Fig3D_VertExpanded
GO:BP,GO:1904357,negative regulation of telomere maintenance via telomere lengthening,2.281439536793118e-06,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of telomere maintenance via telomere lengthening."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]",30,72,5,21026,0.06944444444444445,0.16666666666666666,query_1,"['GO:0010833', 'GO:0032205', 'GO:1904356']","['PARP3', 'TNKS2', 'PARP1', 'HNRNPU', 'TNKS']","[['TAS'], ['IMP'], ['ISS'], ['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:MF,GO:0140098,"catalytic activity, acting on RNA",2.770707805377377e-06,True,"""Catalytic activity that acts to modify RNA."" [GOC:molecular_function_refactoring, GOC:pdt]",411,73,11,20246,0.1506849315068493,0.0267639902676399,query_1,['GO:0140640'],"['YTHDC2', 'ERI1', 'RNASE1', 'RNASE7', 'RNASE2', 'RNASE3', 'RNASE6', 'RNASE8', 'ANG', 'RNASE12', 'RNASE4']","[['IDA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA']]",Fig3D_VertExpanded
GO:CC,GO:0005654,nucleoplasm,3.835978804071468e-06,True,"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]",4255,73,34,22149,0.4657534246575342,0.007990599294947122,query_1,"['GO:0031981', 'GO:0110165']","['PARP3', 'CCAR1', 'RAD18', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'OAS1', 'ACIN1', 'PARP4', 'HNRNPUL1', 'PARP11', 'OAS3', 'OAS2', 'FASTKD3', 'DEK', 'MBD4', 'PARP2', 'SAFB2', 'MBD2', 'OASL', 'SETDB2', 'SLTM', 'MBD1', 'SETDB1', 'PARP1', 'HNRNPU', 'SAFB', 'MECP2', 'TNKS', 'XRCC6', 'MRTFA', 'SARNP', 'HNRNPUL2']","[['IDA'], ['TAS'], ['IDA', 'TAS'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'IBA'], ['IBA'], ['IDA'], ['IDA', 'TAS'], ['IDA', 'TAS'], ['IDA', 'IEA'], ['IDA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'TAS'], ['IDA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IDA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IDA', 'TAS'], ['IDA'], ['IDA', 'TAS'], ['IDA', 'TAS'], ['IDA', 'TAS', 'IEA'], ['IDA']]",Fig3D_VertExpanded
GO:CC,GO:0043233,organelle lumen,3.835978804071468e-06,True,"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]",6695,73,44,22149,0.6027397260273972,0.006572068707991038,query_1,"['GO:0031974', 'GO:0043226']","['PARP3', 'CCAR1', 'RAD18', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'OAS1', 'ACIN1', 'PARP4', 'ERI1', 'HNRNPUL1', 'PARP11', 'OAS3', 'OAS2', 'FASTKD2', 'FASTKD3', 'DEK', 'MBD4', 'PARP2', 'SAFB2', 'MBD2', 'OASL', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'MBD1', 'SETDB1', 'PARP1', 'HNRNPU', 'SAFB', 'FASTK', 'MECP2', 'RNASE2', 'RNASE3', 'TNKS', 'PARP10', 'XRCC6', 'MRTFA', 'SARNP', 'ANG', 'HNRNPUL2', 'FASTKD5']","[['IDA', 'IBA'], ['IDA', 'TAS'], ['IDA', 'TAS'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'TAS', 'NAS'], ['IDA', 'TAS'], ['IDA', 'IBA', 'IEA'], ['IDA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IBA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IBA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['TAS'], ['TAS'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'TAS'], ['IDA', 'TAS'], ['IDA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA'], ['IDA', 'IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:CC,GO:0070013,intracellular organelle lumen,3.835978804071468e-06,True,"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]",6695,73,44,22149,0.6027397260273972,0.006572068707991038,query_1,"['GO:0043229', 'GO:0043233']","['PARP3', 'CCAR1', 'RAD18', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'OAS1', 'ACIN1', 'PARP4', 'ERI1', 'HNRNPUL1', 'PARP11', 'OAS3', 'OAS2', 'FASTKD2', 'FASTKD3', 'DEK', 'MBD4', 'PARP2', 'SAFB2', 'MBD2', 'OASL', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'MBD1', 'SETDB1', 'PARP1', 'HNRNPU', 'SAFB', 'FASTK', 'MECP2', 'RNASE2', 'RNASE3', 'TNKS', 'PARP10', 'XRCC6', 'MRTFA', 'SARNP', 'ANG', 'HNRNPUL2', 'FASTKD5']","[['IDA', 'IBA'], ['IDA', 'TAS'], ['IDA', 'TAS'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'TAS', 'NAS'], ['IDA', 'TAS'], ['IDA', 'IBA', 'IEA'], ['IDA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IBA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IBA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['TAS'], ['TAS'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'TAS'], ['IDA', 'TAS'], ['IDA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA'], ['IDA', 'IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:CC,GO:0031974,membrane-enclosed lumen,3.835978804071468e-06,True,"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]",6695,73,44,22149,0.6027397260273972,0.006572068707991038,query_1,['GO:0110165'],"['PARP3', 'CCAR1', 'RAD18', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'OAS1', 'ACIN1', 'PARP4', 'ERI1', 'HNRNPUL1', 'PARP11', 'OAS3', 'OAS2', 'FASTKD2', 'FASTKD3', 'DEK', 'MBD4', 'PARP2', 'SAFB2', 'MBD2', 'OASL', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'MBD1', 'SETDB1', 'PARP1', 'HNRNPU', 'SAFB', 'FASTK', 'MECP2', 'RNASE2', 'RNASE3', 'TNKS', 'PARP10', 'XRCC6', 'MRTFA', 'SARNP', 'ANG', 'HNRNPUL2', 'FASTKD5']","[['IDA', 'IBA'], ['IDA', 'TAS'], ['IDA', 'TAS'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'TAS', 'NAS'], ['IDA', 'TAS'], ['IDA', 'IBA', 'IEA'], ['IDA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IBA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IBA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['TAS'], ['TAS'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'TAS'], ['IDA', 'TAS'], ['IDA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA'], ['IDA', 'IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0140546,defense response to symbiont,4.158598751329813e-06,True,"""Reactions triggered in response to the presence of a symbiont that act to protect or prevent damage to the host."" [GOC:pg]",1082,72,17,21026,0.2361111111111111,0.015711645101663587,query_1,['GO:0098542'],"['OAS1', 'ZC3HAV1', 'OAS3', 'OAS2', 'OASL', 'PARP1', 'RNASE7', 'RNASE2', 'RNASE3', 'RNASE6', 'PARP14', 'RNASE8', 'YTHDF3', 'XRCC6', 'YTHDF2', 'ANG', 'RNASE4']","[['IDA', 'IMP', 'IEP', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IBA', 'NAS'], ['IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IMP', 'IEA'], ['IBA', 'IEA'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0045934,negative regulation of nucleobase-containing compound metabolic process,4.746471331173799e-06,True,"""Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",1529,72,20,21026,0.2777777777777778,0.013080444735120994,query_1,"['GO:0006139', 'GO:0009892', 'GO:0019219']","['PARP3', 'CCAR1', 'MBD3', 'BAZ2A', 'ACIN1', 'TNKS2', 'MBD2', 'SETDB2', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'HNRNPU', 'MECP2', 'PARP14', 'PARP15', 'TNKS', 'PARP10', 'XRCC6', 'SARNP']","[['ISS', 'TAS', 'IEA'], ['IEA'], ['IBA', 'NAS'], ['ISO'], ['IDA'], ['IMP'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS'], ['IEA'], ['NAS'], ['ISS'], ['IDA', 'IMP', 'ISS', 'TAS'], ['IDA', 'IMP'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IMP'], ['IMP'], ['IEA'], ['IMP'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:0019222,regulation of metabolic process,4.746471331173799e-06,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",7035,72,46,21026,0.6388888888888888,0.0065387348969438526,query_1,"['GO:0008152', 'GO:0050794']","['PARP3', 'CCAR1', 'MBD3', 'BAZ2A', 'YTHDC1', 'OAS1', 'ACIN1', 'ERI1', 'ZC3HAV1', 'TNKS2', 'OAS3', 'OAS2', 'FASTKD2', 'BAZ2B', 'FASTKD3', 'DEK', 'SAFB2', 'MBD2', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'PARP16', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'YTHDF1', 'HNRNPU', 'SAFB', 'TIPARP', 'FASTK', 'MECP2', 'PARP14', 'PARP15', 'TNKS', 'MAMSTR', 'PARP10', 'YTHDF3', 'MRTFB', 'XRCC6', 'MRTFA', 'YTHDF2', 'SARNP', 'ANG', 'FASTKD5']","[['IDA', 'ISS', 'TAS', 'IEA'], ['IEA'], ['IBA', 'NAS', 'IEA'], ['ISS', 'ISO', 'NAS'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA'], ['IEA'], ['IDA', 'IBA'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IMP'], ['IMP'], ['IMP', 'IBA', 'IEA'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA'], ['IBA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IBA'], ['IMP', 'IBA', 'IEA'], ['IDA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['NAS', 'IEA'], ['ISS', 'IBA', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA'], ['IBA'], ['IMP'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:MF,GO:0140640,"catalytic activity, acting on a nucleic acid",5.01459416013506e-06,True,"""Catalytic activity that acts to modify a nucleic acid."" [GOC:pg]",645,73,13,20246,0.1780821917808219,0.020155038759689922,query_1,['GO:0003824'],"['YTHDC2', 'ERI1', 'MBD4', 'RNASE1', 'RNASE7', 'RNASE2', 'RNASE3', 'RNASE6', 'RNASE8', 'XRCC6', 'ANG', 'RNASE12', 'RNASE4']","[['IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA']]",Fig3D_VertExpanded
GO:CC,GO:0016604,nuclear body,5.642299422574602e-06,True,"""Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins."" [GOC:ma, PMID:10330182]",894,73,15,22149,0.2054794520547945,0.016778523489932886,query_1,"['GO:0005654', 'GO:0110165']","['PARP3', 'RAD18', 'BAZ2A', 'YTHDC1', 'SF3B2', 'ACIN1', 'PARP11', 'MBD4', 'SAFB2', 'SLTM', 'MBD1', 'PARP1', 'HNRNPU', 'TNKS', 'SARNP']","[['IDA'], ['IDA'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['IDA'], ['IDA'], ['IDA'], ['ISS', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['IDA'], ['IDA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0045087,innate immune response,6.244664118998005e-06,True,"""Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."" [GO_REF:0000022, GOC:add, GOC:ebc, GOC:mtg_sensu]",984,72,16,21026,0.2222222222222222,0.016260162601626018,query_1,"['GO:0006955', 'GO:0140546']","['OAS1', 'ZC3HAV1', 'OAS3', 'OAS2', 'OASL', 'PARP1', 'RNASE7', 'RNASE2', 'RNASE3', 'RNASE6', 'PARP14', 'RNASE8', 'YTHDF3', 'XRCC6', 'YTHDF2', 'ANG']","[['IDA', 'IMP', 'IEP', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IBA', 'NAS'], ['IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IMP', 'IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0009057,macromolecule catabolic process,6.9338659480680095e-06,True,"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]",1417,72,19,21026,0.2638888888888889,0.013408609738884969,query_1,"['GO:0009056', 'GO:0043170']","['CCAR1', 'YTHDC1', 'ZC3HAV1', 'OAS2', 'FASTKD2', 'FASTKD3', 'TBRG4', 'FASTKD1', 'YTHDF1', 'HNRNPU', 'TIPARP', 'FASTK', 'RNASE2', 'RNASE3', 'RNASE6', 'YTHDF3', 'YTHDF2', 'ANG', 'FASTKD5']","[['IBA'], ['IEA'], ['IDA', 'IBA'], ['IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP'], ['IMP'], ['IBA', 'IEA'], ['TAS'], ['TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['TAS'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0032205,negative regulation of telomere maintenance,7.874781494577397e-06,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a process that affects and monitors the activity of telomeric proteins and the length of telomeric DNA."" [GOC:mah]",39,72,5,21026,0.06944444444444445,0.1282051282051282,query_1,"['GO:0000723', 'GO:0032204', 'GO:0051053', 'GO:2001251']","['PARP3', 'TNKS2', 'PARP1', 'HNRNPU', 'TNKS']","[['TAS'], ['IMP'], ['ISS'], ['IMP'], ['IMP']]",Fig3D_VertExpanded
